date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,tournament_strength,home_form,away_form,form_diff,home_avg_goals_scored,away_avg_goals_scored,goals_scored_diff,home_avg_goals_conceded,away_avg_goals_conceded,goals_conceded_diff,home_elo,away_elo,elo_diff,target,home_country_x,home_group_x,home_acronym_x,home_confederation_x,home_qualifying_difficulty_x,home_mean_temp_last_10_yrs_x,home_climate_bonus_points_x,home_rank_x,home_total.points_x,home_previous.points_x,home_diff.points_x,away_country_x,away_group_x,away_acronym_x,away_confederation_x,away_qualifying_difficulty_x,away_mean_temp_last_10_yrs_x,away_climate_bonus_points_x,away_rank_x,away_total.points_x,away_previous.points_x,away_diff.points_x,elo_form_interaction,attack_defense_gap,elo_tournament_pressure,form_tournament_pressure,home_country_y,home_group_y,home_acronym_y,home_confederation_y,home_qualifying_difficulty_y,home_mean_temp_last_10_yrs_y,home_climate_bonus_points_y,home_rank_y,home_total.points_y,home_previous.points_y,home_diff.points_y,away_country_y,away_group_y,away_acronym_y,away_confederation_y,away_qualifying_difficulty_y,away_mean_temp_last_10_yrs_y,away_climate_bonus_points_y,away_rank_y,away_total.points_y,away_previous.points_y,away_diff.points_y
1992-05-30,germany,türkiye,1.0,0.0,friendly,gelsenkirchen,germany,False,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0,germany,E,GER,UEFA,5,10.45,0,10,1703.79,1703.59,0.200000000000045,türkiye,D,TUR,UEFA,5,12.49,0,28,1537.24,1548.15,-10.9100000000001,0.0,0.0,0.0,0.0,germany,E,GER,UEFA,5,10.45,0,10,1703.79,1703.59,0.200000000000045,türkiye,D,TUR,UEFA,5,12.49,0,28,1537.24,1548.15,-10.9100000000001
1992-05-30,japan,argentina,0.0,1.0,kirin cup,tokyo,japan,False,0.45,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,2,japan,F,JPN,AFC,3,12.44,0,15,1652.79,1645.09,7.70000000000005,argentina,J,ARG,CONMEBOL,6,15.41,1,1,1867.25,1883.5,-16.25,0.0,0.0,0.0,0.0,japan,F,JPN,AFC,3,12.44,0,15,1652.79,1645.09,7.70000000000005,argentina,J,ARG,CONMEBOL,6,15.41,1,1,1867.25,1883.5,-16.25
1992-06-03,norway,scotland,0.0,0.0,friendly,oslo,norway,False,0.3,1,6,-5,0.0,2.0,-2.0,0.0,0.5,0.5,1500.0,1535.8079767738748,-35.80797677387477,1,norway,I,NOR,UEFA,5,2.66,0,43,1484.44,1473.5,10.9400000000001,scotland,C,SCO,UEFA,5,9.67,0,45,1480.24,1461.34,18.9000000000001,179.03988386937385,-0.5,-10.74239303216243,-1.5,norway,I,NOR,UEFA,5,2.66,0,43,1484.44,1473.5,10.9400000000001,scotland,C,SCO,UEFA,5,9.67,0,45,1480.24,1461.34,18.9000000000001
1992-06-03,united states,portugal,1.0,0.0,usa cup,chicago,united states,False,0.45,0,4,-4,0.25,1.0,-0.75,2.25,0.0,-2.25,1426.6697437298296,1520.0,-93.33025627017037,0,united states,D,USA,CONCACAF,2,10.15,0,16,1645.48,1630.97,14.51,portugal,K,POR,UEFA,5,16.5,1,6,1756.12,1752.68,3.43999999999983,373.32102508068147,0.25,-41.998615321576665,-1.8,united states,D,USA,CONCACAF,2,10.15,0,16,1645.48,1630.97,14.51,portugal,K,POR,UEFA,5,16.5,1,6,1756.12,1752.68,3.43999999999983
1992-06-05,france,netherlands,1.0,1.0,friendly,lens,france,False,0.3,1,3,-2,1.3333333333333333,1.5,-0.16666666666666674,2.3333333333333335,2.0,-0.3333333333333335,1461.1500225556908,1501.1500225556908,-40.0,1,france,I,FRA,UEFA,5,12.42,0,2,1859.78,1859.85,-0.0699999999999363,netherlands,F,NED,UEFA,5,11.23,0,7,1747.55,1748.24,-0.690000000000055,80.0,-0.6666666666666667,-12.0,-0.6,france,I,FRA,UEFA,5,12.42,0,2,1859.78,1859.85,-0.0699999999999363,netherlands,F,NED,UEFA,5,11.23,0,7,1747.55,1748.24,-0.690000000000055
1992-06-10,sweden,france,1.0,1.0,uefa euro,solna,sweden,False,0.95,4,2,2,0.25,1.25,-1.0,0.5,2.0,1.5,1485.5841634105495,1463.4424879061826,22.141675504366958,1,sweden,F,SWE,UEFA,5,3.72,0,27,1540.2,1530.41,9.78999999999996,france,I,FRA,UEFA,5,12.42,0,2,1859.78,1859.85,-0.0699999999999363,44.283351008733916,-1.75,21.03459172914861,1.9,sweden,F,SWE,UEFA,5,3.72,0,27,1540.2,1530.41,9.78999999999996,france,I,FRA,UEFA,5,12.42,0,2,1859.78,1859.85,-0.0699999999999363
1992-06-12,netherlands,scotland,1.0,0.0,uefa euro,gothenburg,sweden,True,0.95,4,7,-3,1.3333333333333333,1.3333333333333333,0.0,1.6666666666666667,0.3333333333333333,-1.3333333333333335,1498.857557205199,1533.7539714173354,-34.89641421213628,0,netherlands,F,NED,UEFA,5,11.23,0,7,1747.55,1748.24,-0.690000000000055,scotland,C,SCO,UEFA,5,9.67,0,45,1480.24,1461.34,18.9000000000001,104.68924263640884,1.0,-33.15159350152946,-2.8499999999999996,netherlands,F,NED,UEFA,5,11.23,0,7,1747.55,1748.24,-0.690000000000055,scotland,C,SCO,UEFA,5,9.67,0,45,1480.24,1461.34,18.9000000000001
1992-06-13,united states,australia,0.0,1.0,friendly,orlando,united states,False,0.3,3,7,-4,0.4,0.6666666666666666,-0.2666666666666666,1.8,0.0,-1.8,1451.9166623190629,1537.7075346495083,-85.79087233044538,2,united states,D,USA,CONCACAF,2,10.15,0,16,1645.48,1630.97,14.51,australia,D,AUS,AFC,3,22.41,1,26,1544.15,1552.77,-8.61999999999989,343.1634893217815,0.4,-25.737261699133615,-1.2,united states,D,USA,CONCACAF,2,10.15,0,16,1645.48,1630.97,14.51,australia,D,AUS,AFC,3,22.41,1,26,1544.15,1552.77,-8.61999999999989
1992-06-14,france,england,0.0,0.0,uefa euro,malmö,sweden,True,0.95,3,4,-1,1.2,1.5,-0.30000000000000004,1.8,0.5,-1.3,1464.7153424942624,1518.7840085056882,-54.068666011425876,1,france,I,FRA,UEFA,5,12.42,0,2,1859.78,1859.85,-0.0699999999999363,england,L,ENG,UEFA,5,9.67,0,4,1813.81,1807.83,5.98000000000002,54.068666011425876,0.7,-51.36523271085458,-0.95,france,I,FRA,UEFA,5,12.42,0,2,1859.78,1859.85,-0.0699999999999363,england,L,ENG,UEFA,5,9.67,0,4,1813.81,1807.83,5.98000000000002
1992-06-15,scotland,germany,0.0,2.0,uefa euro,norrköping,sweden,True,0.95,7,3,4,1.0,1.0,0.0,0.5,0.0,-0.5,1511.7519002357797,1520.0,-8.248099764220342,2,scotland,C,SCO,UEFA,5,9.67,0,45,1480.24,1461.34,18.9000000000001,germany,E,GER,UEFA,5,10.45,0,10,1703.79,1703.59,0.200000000000045,-32.99239905688137,1.0,-7.8356947760093245,3.8,scotland,C,SCO,UEFA,5,9.67,0,45,1480.24,1461.34,18.9000000000001,germany,E,GER,UEFA,5,10.45,0,10,1703.79,1703.59,0.200000000000045
